application_id,submission_date,decision_date,visa_type,applicant_country,processing_office,status,processing_days,submission_month,submission_quarter,is_peak_season,country_avg_days,office_avg_days,status_binary
25,2024-10-12,2024-11-18,Student,Germany,Delhi,Certified,37,10,4,0,41.94634146341463,42.42922374429224,1.0
26,2024-08-23,2024-10-21,Work,India,Mumbai,Denied,59,8,3,1,41.64736842105263,41.49626865671642,0.0
27,2024-05-26,2024-06-22,Student,Nigeria,Tokyo,Certified,27,5,2,0,41.93877551020408,41.72289156626506,1.0
28,2024-10-27,2024-11-25,Tourist,Nepal,SaoPaulo,Certified,29,10,4,0,41.83756345177665,41.93832599118943,1.0
29,2024-07-18,2024-09-05,Work,Brazil,SaoPaulo,Denied,49,7,3,1,40.990338164251206,41.93832599118943,0.0
30,2024-06-10,2024-08-03,Business,Brazil,Delhi,Denied,54,6,2,1,40.990338164251206,42.42922374429224,0.0
31,2024-06-13,2024-07-28,Tourist,Germany,Berlin,Denied,45,6,2,1,41.94634146341463,42.0548523206751,0.0
32,2024-03-23,2024-04-27,Tourist,Japan,Delhi,Certified,35,3,1,0,43.073170731707314,42.42922374429224,1.0
33,2024-02-03,2024-03-17,Student,Brazil,SaoPaulo,Certified,43,2,1,0,40.990338164251206,41.93832599118943,1.0
34,2024-07-21,2024-08-30,Business,Nigeria,Delhi,Certified,40,7,3,1,41.93877551020408,42.42922374429224,1.0
35,2024-11-20,2025-01-08,Work,Nigeria,SaoPaulo,Denied,49,11,4,0,41.93877551020408,41.93832599118943,0.0
36,2024-01-24,2024-02-22,Work,Nigeria,Delhi,Certified,29,1,1,0,41.93877551020408,42.42922374429224,1.0
37,2024-11-09,2024-12-19,Work,Nigeria,Delhi,Certified,40,11,4,0,41.93877551020408,42.42922374429224,1.0
38,2024-10-29,2024-11-27,Student,Germany,SaoPaulo,Certified,29,10,4,0,41.94634146341463,41.93832599118943,1.0
39,2024-04-11,2024-05-13,Work,Japan,Berlin,Certified,32,4,2,0,43.073170731707314,42.0548523206751,1.0
40,2024-08-18,2024-10-08,Tourist,Germany,Berlin,Denied,51,8,3,1,41.94634146341463,42.0548523206751,0.0
41,2024-03-01,2024-04-07,Tourist,India,Tokyo,Certified,37,3,1,0,41.64736842105263,41.72289156626506,1.0
42,2024-10-03,2024-10-30,Business,Brazil,Mumbai,Certified,27,10,4,0,40.990338164251206,41.49626865671642,1.0
43,2024-09-12,2024-11-07,Work,Brazil,Tokyo,Denied,56,9,3,1,40.990338164251206,41.72289156626506,0.0
44,2024-05-09,2024-06-19,Tourist,Nigeria,Berlin,Certified,41,5,2,0,41.93877551020408,42.0548523206751,1.0
45,2024-01-25,2024-03-05,Student,Nigeria,Mumbai,Certified,40,1,1,0,41.93877551020408,41.49626865671642,1.0
46,2024-12-20,2025-01-31,Tourist,Germany,Mumbai,Certified,42,12,4,1,41.94634146341463,41.49626865671642,1.0
47,2024-06-11,2024-07-27,Work,Brazil,Delhi,Denied,46,6,2,1,40.990338164251206,42.42922374429224,0.0
48,2024-11-21,2025-01-04,Business,Nepal,Mumbai,Certified,44,11,4,0,41.83756345177665,41.49626865671642,1.0
49,2024-09-04,2024-10-12,Student,Brazil,Berlin,Certified,38,9,3,1,40.990338164251206,42.0548523206751,1.0
50,2024-10-11,2024-11-14,Student,Japan,Delhi,Certified,34,10,4,0,43.073170731707314,42.42922374429224,1.0
51,2024-10-04,2024-11-21,Tourist,Nepal,Delhi,Denied,48,10,4,0,41.83756345177665,42.42922374429224,0.0
52,2024-03-12,2024-04-14,Student,India,Tokyo,Certified,33,3,1,0,41.64736842105263,41.72289156626506,1.0
53,2024-05-12,2024-06-04,Student,Japan,Berlin,Certified,23,5,2,0,43.073170731707314,42.0548523206751,1.0
54,2024-06-19,2024-08-22,Tourist,Nepal,Delhi,Denied,64,6,2,1,41.83756345177665,42.42922374429224,0.0
55,2024-06-30,2024-08-29,Student,Nigeria,Tokyo,Denied,60,6,2,1,41.93877551020408,41.72289156626506,0.0
56,2024-01-16,2024-02-25,Business,Germany,Tokyo,Certified,40,1,1,0,41.94634146341463,41.72289156626506,1.0
57,2024-07-18,2024-08-19,Business,Nepal,Delhi,Certified,32,7,3,1,41.83756345177665,42.42922374429224,1.0
58,2024-02-26,2024-04-07,Student,Brazil,Mumbai,Certified,41,2,1,0,40.990338164251206,41.49626865671642,1.0
59,2024-09-28,2024-11-16,Business,Nepal,Mumbai,Denied,49,9,3,1,41.83756345177665,41.49626865671642,0.0
60,2024-09-06,2024-10-26,Tourist,India,Tokyo,Denied,50,9,3,1,41.64736842105263,41.72289156626506,0.0
61,2024-12-02,2025-01-06,Business,India,Delhi,Certified,35,12,4,1,41.64736842105263,42.42922374429224,1.0
62,2024-09-28,2024-11-26,Student,Nepal,SaoPaulo,Denied,59,9,3,1,41.83756345177665,41.93832599118943,0.0
63,2024-05-13,2024-06-19,Work,Brazil,Mumbai,Certified,37,5,2,0,40.990338164251206,41.49626865671642,1.0
64,2024-12-19,2025-01-20,Tourist,Nigeria,Delhi,Certified,32,12,4,1,41.93877551020408,42.42922374429224,1.0
65,2024-05-29,2024-07-15,Business,India,SaoPaulo,Denied,47,5,2,0,41.64736842105263,41.93832599118943,0.0
66,2024-04-28,2024-06-25,Student,Japan,Delhi,Denied,58,4,2,0,43.073170731707314,42.42922374429224,0.0
67,2024-11-26,2025-01-04,Business,Germany,Delhi,Certified,39,11,4,0,41.94634146341463,42.42922374429224,1.0
68,2024-05-15,2024-06-26,Tourist,India,SaoPaulo,Certified,42,5,2,0,41.64736842105263,41.93832599118943,1.0
69,2024-01-28,2024-03-04,Work,Japan,Berlin,Certified,36,1,1,0,43.073170731707314,42.0548523206751,1.0
70,2024-06-20,2024-08-16,Tourist,India,Berlin,Denied,57,6,2,1,41.64736842105263,42.0548523206751,0.0
71,2024-10-17,2024-11-13,Business,Nigeria,Tokyo,Certified,27,10,4,0,41.93877551020408,41.72289156626506,1.0
72,2024-03-10,2024-04-15,Student,Brazil,Tokyo,Certified,36,3,1,0,40.990338164251206,41.72289156626506,1.0
73,2024-06-17,2024-07-29,Work,Nigeria,Tokyo,Certified,42,6,2,1,41.93877551020408,41.72289156626506,1.0
74,2024-02-17,2024-04-08,Business,Japan,Delhi,Denied,51,2,1,0,43.073170731707314,42.42922374429224,0.0
75,2024-09-07,2024-10-22,Work,Japan,Berlin,Denied,45,9,3,1,43.073170731707314,42.0548523206751,0.0
76,2024-06-22,2024-08-23,Tourist,Nepal,Mumbai,Denied,62,6,2,1,41.83756345177665,41.49626865671642,0.0
77,2024-04-30,2024-05-30,Tourist,Nigeria,SaoPaulo,Certified,30,4,2,0,41.93877551020408,41.93832599118943,1.0
78,2024-03-23,2024-05-09,Tourist,Japan,Berlin,Denied,47,3,1,0,43.073170731707314,42.0548523206751,0.0
79,2024-07-25,2024-09-13,Business,Germany,Delhi,Denied,50,7,3,1,41.94634146341463,42.42922374429224,0.0
80,2024-09-01,2024-10-18,Business,Japan,SaoPaulo,Denied,47,9,3,1,43.073170731707314,41.93832599118943,0.0
81,2024-12-09,2025-01-19,Student,Brazil,Mumbai,Certified,41,12,4,1,40.990338164251206,41.49626865671642,1.0
82,2024-06-08,2024-07-31,Business,Nepal,Mumbai,Denied,53,6,2,1,41.83756345177665,41.49626865671642,0.0
83,2024-02-28,2024-03-31,Tourist,Nigeria,SaoPaulo,Certified,32,2,1,0,41.93877551020408,41.93832599118943,1.0
84,2024-10-30,2024-12-05,Work,Germany,Tokyo,Certified,36,10,4,0,41.94634146341463,41.72289156626506,1.0
85,2024-08-17,2024-10-01,Student,Japan,SaoPaulo,Denied,45,8,3,1,43.073170731707314,41.93832599118943,0.0
86,2024-09-12,2024-10-19,Tourist,Germany,Tokyo,Certified,37,9,3,1,41.94634146341463,41.72289156626506,1.0
87,2024-02-05,2024-03-07,Student,Germany,SaoPaulo,Certified,31,2,1,0,41.94634146341463,41.93832599118943,1.0
88,2024-04-24,2024-06-07,Student,Nigeria,Delhi,Certified,44,4,2,0,41.93877551020408,42.42922374429224,1.0
89,2024-10-07,2024-11-07,Student,Nepal,Berlin,Certified,31,10,4,0,41.83756345177665,42.0548523206751,1.0
90,2024-10-30,2024-11-28,Tourist,Brazil,Mumbai,Certified,29,10,4,0,40.990338164251206,41.49626865671642,1.0
91,2024-06-07,2024-07-29,Student,Brazil,Mumbai,Denied,52,6,2,1,40.990338164251206,41.49626865671642,0.0
92,2024-10-20,2024-11-30,Tourist,Germany,Mumbai,Certified,41,10,4,0,41.94634146341463,41.49626865671642,1.0
93,2024-11-03,2024-11-25,Business,Nigeria,Mumbai,Certified,22,11,4,0,41.93877551020408,41.49626865671642,1.0
94,2024-05-21,2024-07-10,Student,Germany,Berlin,Denied,50,5,2,0,41.94634146341463,42.0548523206751,0.0
95,2024-11-23,2024-12-31,Tourist,India,SaoPaulo,Certified,38,11,4,0,41.64736842105263,41.93832599118943,1.0
96,2024-04-15,2024-05-21,Work,Germany,Tokyo,Certified,36,4,2,0,41.94634146341463,41.72289156626506,1.0
97,2024-03-28,2024-05-03,Business,Nigeria,Mumbai,Certified,36,3,1,0,41.93877551020408,41.49626865671642,1.0
98,2024-09-06,2024-10-27,Student,Japan,Berlin,Denied,51,9,3,1,43.073170731707314,42.0548523206751,0.0
99,2024-08-20,2024-10-10,Business,Brazil,Berlin,Denied,51,8,3,1,40.990338164251206,42.0548523206751,0.0
100,2024-02-21,2024-04-16,Work,Brazil,Mumbai,Denied,55,2,1,0,40.990338164251206,41.49626865671642,0.0
101,2024-10-30,2024-12-07,Work,India,Berlin,Certified,38,10,4,0,41.64736842105263,42.0548523206751,1.0
102,2024-03-13,2024-04-27,Student,Germany,Tokyo,Denied,45,3,1,0,41.94634146341463,41.72289156626506,0.0
103,2024-10-20,2024-12-02,Tourist,Germany,Mumbai,Certified,43,10,4,0,41.94634146341463,41.49626865671642,1.0
104,2024-01-03,2024-02-20,Student,Japan,Berlin,Denied,48,1,1,0,43.073170731707314,42.0548523206751,0.0
105,2024-10-17,2024-11-29,Business,India,Tokyo,Certified,43,10,4,0,41.64736842105263,41.72289156626506,1.0
106,2024-10-14,2024-12-01,Business,Nepal,Berlin,Denied,48,10,4,0,41.83756345177665,42.0548523206751,0.0
107,2024-10-11,2024-11-18,Business,Japan,Mumbai,Certified,38,10,4,0,43.073170731707314,41.49626865671642,1.0
108,2024-08-30,2024-10-08,Business,India,Berlin,Certified,39,8,3,1,41.64736842105263,42.0548523206751,1.0
109,2024-06-21,2024-08-06,Student,Nigeria,Tokyo,Denied,46,6,2,1,41.93877551020408,41.72289156626506,0.0
110,2024-09-14,2024-11-02,Student,Brazil,Mumbai,Denied,49,9,3,1,40.990338164251206,41.49626865671642,0.0
111,2024-04-11,2024-05-24,Business,Japan,Berlin,Certified,43,4,2,0,43.073170731707314,42.0548523206751,1.0
112,2024-10-11,2024-11-15,Work,Japan,Tokyo,Certified,35,10,4,0,43.073170731707314,41.72289156626506,1.0
113,2024-07-21,2024-08-28,Student,Japan,Mumbai,Certified,38,7,3,1,43.073170731707314,41.49626865671642,1.0
114,2024-06-16,2024-08-09,Student,Nepal,Mumbai,Denied,54,6,2,1,41.83756345177665,41.49626865671642,0.0
115,2024-07-03,2024-08-12,Business,Nigeria,SaoPaulo,Certified,40,7,3,1,41.93877551020408,41.93832599118943,1.0
116,2024-07-26,2024-09-20,Tourist,Germany,Mumbai,Denied,56,7,3,1,41.94634146341463,41.49626865671642,0.0
117,2024-01-14,2024-02-05,Tourist,Japan,Berlin,Certified,22,1,1,0,43.073170731707314,42.0548523206751,1.0
118,2024-02-21,2024-04-03,Work,India,Delhi,Certified,42,2,1,0,41.64736842105263,42.42922374429224,1.0
119,2024-03-30,2024-05-06,Tourist,Japan,SaoPaulo,Certified,37,3,1,0,43.073170731707314,41.93832599118943,1.0
120,2024-02-11,2024-03-01,Tourist,Brazil,Berlin,Certified,19,2,1,0,40.990338164251206,42.0548523206751,1.0
121,2024-06-09,2024-07-23,Business,India,Tokyo,Certified,44,6,2,1,41.64736842105263,41.72289156626506,1.0
122,2024-08-31,2024-10-14,Student,Nigeria,Tokyo,Certified,44,8,3,1,41.93877551020408,41.72289156626506,1.0
123,2024-08-26,2024-10-07,Work,Germany,Mumbai,Certified,42,8,3,1,41.94634146341463,41.49626865671642,1.0
124,2024-06-20,2024-08-10,Student,India,Mumbai,Denied,51,6,2,1,41.64736842105263,41.49626865671642,0.0
125,2024-11-08,2024-12-13,Tourist,India,Tokyo,Certified,35,11,4,0,41.64736842105263,41.72289156626506,1.0
126,2024-07-25,2024-09-02,Tourist,Japan,SaoPaulo,Certified,39,7,3,1,43.073170731707314,41.93832599118943,1.0
127,2024-01-29,2024-03-12,Business,Japan,Delhi,Certified,43,1,1,0,43.073170731707314,42.42922374429224,1.0
128,2024-10-06,2024-11-21,Tourist,India,SaoPaulo,Denied,46,10,4,0,41.64736842105263,41.93832599118943,0.0
129,2024-07-28,2024-09-09,Work,Japan,SaoPaulo,Certified,43,7,3,1,43.073170731707314,41.93832599118943,1.0
130,2024-08-19,2024-09-26,Student,Japan,Delhi,Certified,38,8,3,1,43.073170731707314,42.42922374429224,1.0
131,2024-07-25,2024-09-15,Student,Japan,Delhi,Denied,52,7,3,1,43.073170731707314,42.42922374429224,0.0
132,2024-07-21,2024-08-31,Business,Nepal,Tokyo,Certified,41,7,3,1,41.83756345177665,41.72289156626506,1.0
133,2024-02-03,2024-03-23,Work,Nigeria,SaoPaulo,Denied,49,2,1,0,41.93877551020408,41.93832599118943,0.0
134,2024-07-23,2024-09-08,Work,Japan,Mumbai,Denied,47,7,3,1,43.073170731707314,41.49626865671642,0.0
135,2024-10-17,2024-11-28,Student,Japan,Tokyo,Certified,42,10,4,0,43.073170731707314,41.72289156626506,1.0
136,2024-04-20,2024-05-30,Student,Nigeria,SaoPaulo,Certified,40,4,2,0,41.93877551020408,41.93832599118943,1.0
137,2024-08-08,2024-09-19,Work,Nepal,Mumbai,Certified,42,8,3,1,41.83756345177665,41.49626865671642,1.0
138,2024-01-12,2024-02-18,Tourist,India,Mumbai,Certified,37,1,1,0,41.64736842105263,41.49626865671642,1.0
139,2024-05-06,2024-06-01,Tourist,Nepal,SaoPaulo,Certified,26,5,2,0,41.83756345177665,41.93832599118943,1.0
140,2024-06-08,2024-07-14,Work,India,Mumbai,Certified,36,6,2,1,41.64736842105263,41.49626865671642,1.0
141,2024-12-24,2025-02-10,Work,Nepal,Berlin,Denied,48,12,4,1,41.83756345177665,42.0548523206751,0.0
142,2024-03-19,2024-04-25,Tourist,India,Berlin,Certified,37,3,1,0,41.64736842105263,42.0548523206751,1.0
143,2024-04-10,2024-05-08,Business,Germany,Berlin,Certified,28,4,2,0,41.94634146341463,42.0548523206751,1.0
144,2024-05-29,2024-07-01,Work,Nigeria,Mumbai,Certified,33,5,2,0,41.93877551020408,41.49626865671642,1.0
145,2024-12-28,2025-02-17,Tourist,Nigeria,Tokyo,Denied,51,12,4,1,41.93877551020408,41.72289156626506,0.0
146,2024-11-07,2024-12-01,Business,Germany,Tokyo,Certified,24,11,4,0,41.94634146341463,41.72289156626506,1.0
147,2024-01-13,2024-02-12,Business,Brazil,Mumbai,Certified,30,1,1,0,40.990338164251206,41.49626865671642,1.0
148,2024-03-26,2024-04-27,Student,Brazil,Berlin,Certified,32,3,1,0,40.990338164251206,42.0548523206751,1.0
149,2024-10-26,2024-12-13,Student,Nepal,Delhi,Denied,48,10,4,0,41.83756345177665,42.42922374429224,0.0
150,2024-01-22,2024-03-04,Student,Brazil,Mumbai,Certified,42,1,1,0,40.990338164251206,41.49626865671642,1.0
151,2024-11-08,2024-12-28,Work,Nepal,SaoPaulo,Denied,50,11,4,0,41.83756345177665,41.93832599118943,0.0
152,2024-04-12,2024-05-11,Tourist,Nigeria,Berlin,Certified,29,4,2,0,41.93877551020408,42.0548523206751,1.0
153,2024-11-30,2025-01-05,Student,Japan,Tokyo,Certified,36,11,4,0,43.073170731707314,41.72289156626506,1.0
154,2024-04-17,2024-05-25,Tourist,Nigeria,SaoPaulo,Certified,38,4,2,0,41.93877551020408,41.93832599118943,1.0
155,2024-06-07,2024-07-23,Tourist,Nepal,Tokyo,Denied,46,6,2,1,41.83756345177665,41.72289156626506,0.0
156,2024-08-29,2024-10-15,Student,Germany,Tokyo,Denied,47,8,3,1,41.94634146341463,41.72289156626506,0.0
157,2024-02-16,2024-03-23,Work,Germany,Tokyo,Certified,36,2,1,0,41.94634146341463,41.72289156626506,1.0
158,2024-07-22,2024-09-09,Business,Brazil,Berlin,Denied,49,7,3,1,40.990338164251206,42.0548523206751,0.0
159,2024-07-03,2024-08-26,Tourist,Nepal,Tokyo,Denied,54,7,3,1,41.83756345177665,41.72289156626506,0.0
160,2024-10-13,2024-11-27,Tourist,Germany,Mumbai,Denied,45,10,4,0,41.94634146341463,41.49626865671642,0.0
161,2024-12-29,2025-02-11,Student,Nepal,SaoPaulo,Certified,44,12,4,1,41.83756345177665,41.93832599118943,1.0
162,2024-08-30,2024-10-06,Work,Japan,Delhi,Certified,37,8,3,1,43.073170731707314,42.42922374429224,1.0
163,2024-05-29,2024-06-19,Business,Nepal,SaoPaulo,Certified,21,5,2,0,41.83756345177665,41.93832599118943,1.0
164,2024-05-28,2024-07-06,Work,Brazil,SaoPaulo,Certified,39,5,2,0,40.990338164251206,41.93832599118943,1.0
165,2024-06-01,2024-08-02,Work,Germany,Delhi,Denied,62,6,2,1,41.94634146341463,42.42922374429224,0.0
166,2024-10-24,2024-11-26,Tourist,India,Tokyo,Certified,33,10,4,0,41.64736842105263,41.72289156626506,1.0
167,2024-04-27,2024-05-23,Tourist,Nepal,SaoPaulo,Certified,26,4,2,0,41.83756345177665,41.93832599118943,1.0
168,2024-03-01,2024-04-09,Tourist,India,Berlin,Certified,39,3,1,0,41.64736842105263,42.0548523206751,1.0
169,2024-05-02,2024-06-20,Work,Brazil,Mumbai,Denied,49,5,2,0,40.990338164251206,41.49626865671642,0.0
170,2024-01-09,2024-03-02,Student,Nigeria,SaoPaulo,Denied,53,1,1,0,41.93877551020408,41.93832599118943,0.0
171,2024-02-08,2024-03-24,Tourist,Nepal,Berlin,Denied,45,2,1,0,41.83756345177665,42.0548523206751,0.0
172,2024-02-02,2024-03-07,Work,Brazil,Delhi,Certified,34,2,1,0,40.990338164251206,42.42922374429224,1.0
173,2024-10-08,2024-11-11,Business,Germany,Mumbai,Certified,34,10,4,0,41.94634146341463,41.49626865671642,1.0
174,2024-09-20,2024-11-12,Student,Japan,Tokyo,Denied,53,9,3,1,43.073170731707314,41.72289156626506,0.0
175,2024-09-11,2024-10-22,Business,India,Berlin,Certified,41,9,3,1,41.64736842105263,42.0548523206751,1.0
176,2024-06-17,2024-08-02,Work,Nigeria,Mumbai,Denied,46,6,2,1,41.93877551020408,41.49626865671642,0.0
177,2024-09-18,2024-11-12,Work,India,Tokyo,Denied,55,9,3,1,41.64736842105263,41.72289156626506,0.0
178,2024-02-28,2024-04-15,Business,Nigeria,Delhi,Denied,47,2,1,0,41.93877551020408,42.42922374429224,0.0
179,2024-11-24,2025-01-15,Tourist,Japan,Mumbai,Denied,52,11,4,0,43.073170731707314,41.49626865671642,0.0
180,2024-07-01,2024-08-08,Business,Germany,Berlin,Certified,38,7,3,1,41.94634146341463,42.0548523206751,1.0
181,2024-12-08,2025-01-29,Business,Nepal,Delhi,Denied,52,12,4,1,41.83756345177665,42.42922374429224,0.0
182,2024-02-25,2024-04-05,Business,Nepal,Mumbai,Certified,40,2,1,0,41.83756345177665,41.49626865671642,1.0
183,2024-06-30,2024-08-21,Work,Germany,SaoPaulo,Denied,52,6,2,1,41.94634146341463,41.93832599118943,0.0
184,2024-09-11,2024-11-06,Business,Germany,SaoPaulo,Denied,56,9,3,1,41.94634146341463,41.93832599118943,0.0
185,2024-06-29,2024-08-20,Business,Nepal,SaoPaulo,Denied,52,6,2,1,41.83756345177665,41.93832599118943,0.0
186,2024-06-11,2024-07-25,Business,India,Mumbai,Certified,44,6,2,1,41.64736842105263,41.49626865671642,1.0
187,2024-03-01,2024-04-14,Business,Brazil,Delhi,Certified,44,3,1,0,40.990338164251206,42.42922374429224,1.0
188,2024-05-19,2024-06-30,Business,Nigeria,SaoPaulo,Certified,42,5,2,0,41.93877551020408,41.93832599118943,1.0
189,2024-03-28,2024-04-25,Student,Brazil,Mumbai,Certified,28,3,1,0,40.990338164251206,41.49626865671642,1.0
190,2024-04-20,2024-05-24,Work,Japan,Tokyo,Certified,34,4,2,0,43.073170731707314,41.72289156626506,1.0
191,2024-09-06,2024-10-12,Student,Germany,Delhi,Certified,36,9,3,1,41.94634146341463,42.42922374429224,1.0
192,2024-08-18,2024-09-20,Business,Germany,Tokyo,Certified,33,8,3,1,41.94634146341463,41.72289156626506,1.0
193,2024-08-09,2024-09-29,Business,India,Berlin,Denied,51,8,3,1,41.64736842105263,42.0548523206751,0.0
194,2024-05-12,2024-07-08,Business,Japan,SaoPaulo,Denied,57,5,2,0,43.073170731707314,41.93832599118943,0.0
195,2024-12-16,2025-02-07,Work,Germany,Delhi,Denied,53,12,4,1,41.94634146341463,42.42922374429224,0.0
196,2024-02-01,2024-03-12,Student,Brazil,Berlin,Certified,40,2,1,0,40.990338164251206,42.0548523206751,1.0
197,2024-05-05,2024-06-24,Tourist,Nigeria,SaoPaulo,Denied,50,5,2,0,41.93877551020408,41.93832599118943,0.0
198,2024-02-13,2024-03-22,Work,Germany,Mumbai,Certified,38,2,1,0,41.94634146341463,41.49626865671642,1.0
199,2024-05-03,2024-06-15,Work,Japan,Tokyo,Certified,43,5,2,0,43.073170731707314,41.72289156626506,1.0
200,2024-12-17,2025-01-29,Work,Nigeria,Delhi,Certified,43,12,4,1,41.93877551020408,42.42922374429224,1.0
201,2024-05-13,2024-06-22,Work,India,Tokyo,Certified,40,5,2,0,41.64736842105263,41.72289156626506,1.0
202,2024-11-27,2025-01-09,Business,Nigeria,Mumbai,Certified,43,11,4,0,41.93877551020408,41.49626865671642,1.0
203,2024-06-29,2024-08-03,Tourist,Germany,Berlin,Certified,35,6,2,1,41.94634146341463,42.0548523206751,1.0
204,2024-09-12,2024-11-02,Student,India,SaoPaulo,Denied,51,9,3,1,41.64736842105263,41.93832599118943,0.0
205,2024-06-15,2024-07-29,Work,Germany,Tokyo,Certified,44,6,2,1,41.94634146341463,41.72289156626506,1.0
206,2024-04-07,2024-05-27,Business,Nepal,Berlin,Denied,50,4,2,0,41.83756345177665,42.0548523206751,0.0
207,2024-10-05,2024-11-15,Business,Japan,Delhi,Certified,41,10,4,0,43.073170731707314,42.42922374429224,1.0
208,2024-12-19,2025-01-27,Business,Nigeria,Mumbai,Certified,39,12,4,1,41.93877551020408,41.49626865671642,1.0
209,2024-04-06,2024-05-12,Business,Nepal,SaoPaulo,Certified,36,4,2,0,41.83756345177665,41.93832599118943,1.0
210,2024-10-11,2024-11-20,Business,India,Mumbai,Certified,40,10,4,0,41.64736842105263,41.49626865671642,1.0
211,2024-04-05,2024-05-14,Work,India,Tokyo,Certified,39,4,2,0,41.64736842105263,41.72289156626506,1.0
212,2024-09-18,2024-10-25,Tourist,Germany,Berlin,Certified,37,9,3,1,41.94634146341463,42.0548523206751,1.0
213,2024-10-14,2024-11-22,Work,Brazil,Mumbai,Certified,39,10,4,0,40.990338164251206,41.49626865671642,1.0
214,2024-06-13,2024-07-20,Work,Japan,Tokyo,Certified,37,6,2,1,43.073170731707314,41.72289156626506,1.0
215,2024-09-25,2024-11-02,Tourist,Nepal,Mumbai,Certified,38,9,3,1,41.83756345177665,41.49626865671642,1.0
216,2024-04-09,2024-05-28,Business,Japan,Mumbai,Denied,49,4,2,0,43.073170731707314,41.49626865671642,0.0
217,2024-01-29,2024-03-16,Work,Japan,Berlin,Denied,47,1,1,0,43.073170731707314,42.0548523206751,0.0
218,2024-02-05,2024-03-06,Business,India,Tokyo,Certified,30,2,1,0,41.64736842105263,41.72289156626506,1.0
219,2024-06-12,2024-08-02,Tourist,Nigeria,SaoPaulo,Denied,51,6,2,1,41.93877551020408,41.93832599118943,0.0
220,2024-11-25,2025-01-11,Business,Japan,Tokyo,Denied,47,11,4,0,43.073170731707314,41.72289156626506,0.0
221,2024-02-16,2024-04-05,Student,Nepal,Tokyo,Denied,49,2,1,0,41.83756345177665,41.72289156626506,0.0
222,2024-06-15,2024-08-08,Work,India,Tokyo,Denied,54,6,2,1,41.64736842105263,41.72289156626506,0.0
223,2024-09-13,2024-11-05,Work,Japan,Mumbai,Denied,53,9,3,1,43.073170731707314,41.49626865671642,0.0
